target_transcript_id,partner_transcript_id,or_threshold_target,or_threshold_partner,and_threshold
ENST00000085219.9,ENST00000264036.5,4.6189,7.9453,0.5043507706199848
ENST00000085219.9,ENST00000421350.1,4.6189,3.1261,0.3645367798043242
ENST00000085219.9,ENST00000252229.6,4.6189,1.2636,0.1747946611909651
ENST00000085219.9,ENST00000569591.2,4.6189,6.4978,0.44008938277569754
ENST00000085219.9,ENST00000382862.7,4.6189,3.1228,0.3964095905302573
ENST00000085219.9,ENST00000296474.7,4.6189,1.6604,0.38369670250030197
ENST00000085219.9,ENST00000478191.1,4.6189,-3.458,0.697381930184805
ENST00000085219.9,ENST00000306151.8,4.6189,-9.9658,0.697381930184805
ENST00000085219.9,ENST00000316851.11,4.6189,6.139,0.6757760599106172
ENST00000085219.9,ENST00000263388.6,4.6189,6.1645,0.44969199178644764
ENST00000085219.9,ENST00000328963.9,4.6189,4.4647,0.61164830222622
ENST00000085219.9,ENST00000261799.8,4.6189,7.4625,0.4606089158471232
ENST00000085219.9,ENST00000221264.8,4.6189,1.4065,0.23200265732576397
ENST00000085219.9,ENST00000379440.8,4.6189,6.4281,0.6095835175983976
ENST00000085219.9,ENST00000447510.6,4.6189,2.7029,0.28738374199782585
ENST00000085219.9,ENST00000292513.3,4.6189,4.7819,0.3479888875468052
ENST00000085219.9,ENST00000245457.5,4.6189,3.3321,0.44437734025848535
ENST00000085219.9,ENST00000348564.10,4.6189,6.5905,0.44969199178644764
ENST00000085219.9,ENST00000460933.5,4.6189,4.783,0.5325824374924508
ENST00000085219.9,ENST00000368055.1,4.6189,-1.685,0.697381930184805
ENST00000085219.9,ENST00000359331.8,4.6189,1.8078,0.32910967269174407
ENST00000085219.9,ENST00000400906.1,4.6189,-3.816,0.697381930184805
ENST00000085219.9,ENST00000269187.9,4.6189,4.839,0.6654204336890761
ENST00000085219.9,ENST00000280612.9,4.6189,3.3675,0.5499028519105791
ENST00000085219.9,ENST00000336904.7,4.6189,5.8748,0.5807011716390869
ENST00000085219.9,ENST00000256637.7,4.6189,5.9821,0.6859071143857954
